[2018-08-21 17:27:22.064] [setup] [info] Vendor : NVIDIA Corporation, Renderer : GeForce GTX 1060/PCIe/SSE2
[2018-08-21 17:27:22.065] [setup] [info] Vertex Shader [../resources/shader/vertex_shader.glsl] Compile finished.
[2018-08-21 17:27:22.066] [setup] [info] Fragment Shader [../resources/shader/fragment_shader.glsl] Compile finished.
[2018-08-21 17:27:22.067] [setup] [info] Program Linking finished.
[2018-08-21 17:27:22.067] [setup] [info] Linking Program Success.
[2018-08-21 17:27:23.700] [setup] [debug] NO ERROR at c:\users\user\desktop\github\procedural-terrain-estimator\renderer\terrainrenderer\glapp.cpp ( 152 )

[2018-08-21 17:28:18.317] [setup] [info] Vendor : NVIDIA Corporation, Renderer : GeForce GTX 1060/PCIe/SSE2
[2018-08-21 17:28:18.375] [setup] [info] Vertex Shader [../resources/shader/vertex_shader.glsl] Compile finished.
[2018-08-21 17:28:18.376] [setup] [info] Fragment Shader [../resources/shader/fragment_shader.glsl] Compile finished.
[2018-08-21 17:28:18.413] [setup] [info] Program Linking finished.
[2018-08-21 17:28:18.413] [setup] [info] Linking Program Success.
[2018-08-21 17:28:19.167] [setup] [debug] NO ERROR at c:\users\user\desktop\github\procedural-terrain-estimator\renderer\terrainrenderer\glapp.cpp ( 152 )

[2018-08-21 17:31:47.112] [setup] [info] Vendor : NVIDIA Corporation, Renderer : GeForce GTX 1060/PCIe/SSE2
[2018-08-21 17:31:47.113] [setup] [info] Vertex Shader [../resources/shader/vertex_shader.glsl] Compile finished.
[2018-08-21 17:31:47.114] [setup] [info] Fragment Shader [../resources/shader/fragment_shader.glsl] Compile finished.
[2018-08-21 17:31:47.114] [setup] [info] Program Linking finished.
[2018-08-21 17:31:47.115] [setup] [info] Linking Program Success.
[2018-08-21 17:31:49.570] [setup] [debug] NO ERROR at c:\users\user\desktop\github\procedural-terrain-estimator\renderer\terrainrenderer\glapp.cpp ( 152 )

[2018-08-21 17:32:09.038] [setup] [info] Vendor : NVIDIA Corporation, Renderer : GeForce GTX 1060/PCIe/SSE2
[2018-08-21 17:32:09.039] [setup] [info] Vertex Shader [../resources/shader/vertex_shader.glsl] Compile finished.
[2018-08-21 17:32:09.039] [setup] [info] Fragment Shader [../resources/shader/fragment_shader.glsl] Compile finished.
[2018-08-21 17:32:09.041] [setup] [info] Program Linking finished.
[2018-08-21 17:32:09.042] [setup] [info] Linking Program Success.
[2018-08-21 17:32:12.837] [setup] [debug] NO ERROR at c:\users\user\desktop\github\procedural-terrain-estimator\renderer\terrainrenderer\glapp.cpp ( 152 )

[2018-08-21 18:07:55.168] [setup] [info] Vendor : NVIDIA Corporation, Renderer : GeForce GTX 1060/PCIe/SSE2
[2018-08-21 18:07:55.169] [setup] [info] Vertex Shader [../resources/shader/vertex_shader.glsl] Compile finished.
[2018-08-21 18:07:55.185] [setup] [info] Fragment Shader [../resources/shader/fragment_shader.glsl] Compile finished.
[2018-08-21 18:07:55.186] [setup] [info] Program Linking finished.
[2018-08-21 18:07:55.187] [setup] [info] Linking Program Success.
[2018-08-21 18:07:59.169] [setup] [debug] NO ERROR at c:\users\user\desktop\github\procedural-terrain-estimator\renderer\terrainrenderer\glapp.cpp ( 155 )

[2018-08-21 18:08:22.321] [setup] [info] Vendor : NVIDIA Corporation, Renderer : GeForce GTX 1060/PCIe/SSE2
[2018-08-21 18:08:22.323] [setup] [info] Vertex Shader [../resources/shader/vertex_shader.glsl] Compile finished.
[2018-08-21 18:08:22.324] [setup] [info] Fragment Shader [../resources/shader/fragment_shader.glsl] Compile finished.
[2018-08-21 18:08:22.325] [setup] [info] Program Linking finished.
[2018-08-21 18:08:22.326] [setup] [info] Linking Program Success.
[2018-08-21 18:08:25.986] [setup] [debug] NO ERROR at c:\users\user\desktop\github\procedural-terrain-estimator\renderer\terrainrenderer\glapp.cpp ( 155 )

[2018-08-21 18:12:12.048] [setup] [info] Vendor : NVIDIA Corporation, Renderer : GeForce GTX 1060/PCIe/SSE2
[2018-08-21 18:12:12.052] [setup] [critical] Program Link Failed. info log :
Program binary could not be loa
[2018-08-21 18:12:12.053] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.054] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.054] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.058] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.059] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.061] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.072] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.073] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.073] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.089] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.090] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.090] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.106] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.106] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.107] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.122] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.123] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.123] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.139] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.139] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.140] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.156] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.156] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.156] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.172] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.173] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.173] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.189] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.189] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.190] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.206] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.206] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.207] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.222] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.223] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.224] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.241] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.242] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.243] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.256] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.256] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.257] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.272] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.273] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.274] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.289] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.290] [setup] [critical] Undefined Uniform Variable Name : view
[2018-08-21 18:12:12.291] [setup] [critical] Undefined Uniform Variable Name : project
[2018-08-21 18:12:12.306] [setup] [critical] Undefined Uniform Variable Name : model
[2018-08-21 18:12:12.306] [setup] [critical] Undefined Uniform Variable Name : view
